controlled_company_number,controller_company_number,controller_name,notified_on,ceased_on,ceased,nature_of_control,legal_form,legal_authority,country_registered,place_registered,psc_kind,source_url,etag,depth_from_root
05754891,03858865,Carillion Energy Services Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05754891/persons-with-significant-control/corporate-entity/IT_7HQ7ed2CWUVBIbkSKC23q8k4,9d296c530cf5e348ce8e6d4b0da130c15ed169a9,2
05754891,03858865,Carillion Energy Services Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05754891/persons-with-significant-control/corporate-entity/IT_7HQ7ed2CWUVBIbkSKC23q8k4,9d296c530cf5e348ce8e6d4b0da130c15ed169a9,2
05754891,03858865,Carillion Energy Services Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05754891/persons-with-significant-control/corporate-entity/IT_7HQ7ed2CWUVBIbkSKC23q8k4,9d296c530cf5e348ce8e6d4b0da130c15ed169a9,2
14591257,OC432564,Stephenson Works Llp,2023-04-19,,false,ownership-of-shares-75-to-100-percent,Corporate,Limited Liability Partnerships Act 2000,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14591257/persons-with-significant-control/corporate-entity/wH0WGypYvZOK7HOtoCY290jythg,006913b262c506b10ab6a35a2a77c2106d409bc6,4
14591257,OC432564,Stephenson Works Llp,2023-04-19,,false,right-to-appoint-and-remove-directors,Corporate,Limited Liability Partnerships Act 2000,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14591257/persons-with-significant-control/corporate-entity/wH0WGypYvZOK7HOtoCY290jythg,006913b262c506b10ab6a35a2a77c2106d409bc6,4
14591257,OC432564,Stephenson Works Llp,2023-04-19,,false,voting-rights-75-to-100-percent,Corporate,Limited Liability Partnerships Act 2000,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14591257/persons-with-significant-control/corporate-entity/wH0WGypYvZOK7HOtoCY290jythg,006913b262c506b10ab6a35a2a77c2106d409bc6,4
14840096,08084031,Ask Real Estate Limited,2023-05-02,,false,ownership-of-shares-50-to-75-percent,Private Company Limited By Shares,Companies Act 2006,United Kingdom,Uk Register Of Companies,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14840096/persons-with-significant-control/corporate-entity/OBrwZP9Ynx-NHMkZ1N4jpje2rsk,5a56a21233064879604444cc1b2268fbdb9e666c,3
14840096,08084031,Ask Real Estate Limited,2023-05-02,,false,right-to-appoint-and-remove-directors,Private Company Limited By Shares,Companies Act 2006,United Kingdom,Uk Register Of Companies,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14840096/persons-with-significant-control/corporate-entity/OBrwZP9Ynx-NHMkZ1N4jpje2rsk,5a56a21233064879604444cc1b2268fbdb9e666c,3
14840096,08084031,Ask Real Estate Limited,2023-05-02,,false,voting-rights-50-to-75-percent,Private Company Limited By Shares,Companies Act 2006,United Kingdom,Uk Register Of Companies,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14840096/persons-with-significant-control/corporate-entity/OBrwZP9Ynx-NHMkZ1N4jpje2rsk,5a56a21233064879604444cc1b2268fbdb9e666c,3
03485972,06190456,Carillion Wyse Holdings Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03485972/persons-with-significant-control/corporate-entity/lLXfvx2GH5ASCXKZ6zPPm2PBETY,38230b1951e441f1ae51aeaae0a97ddab5a7710c,3
03485972,06190456,Carillion Wyse Holdings Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03485972/persons-with-significant-control/corporate-entity/lLXfvx2GH5ASCXKZ6zPPm2PBETY,38230b1951e441f1ae51aeaae0a97ddab5a7710c,3
09822736,02997859,Carillion Private Finance Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09822736/persons-with-significant-control/corporate-entity/3t3h1i2bUpdcLJBONQDLYX01NHU,52d0e34e60c93a6f30fbf5c777816714bc223e70,2
09822736,02997859,Carillion Private Finance Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09822736/persons-with-significant-control/corporate-entity/3t3h1i2bUpdcLJBONQDLYX01NHU,52d0e34e60c93a6f30fbf5c777816714bc223e70,2
09822736,02997859,Carillion Private Finance Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09822736/persons-with-significant-control/corporate-entity/3t3h1i2bUpdcLJBONQDLYX01NHU,52d0e34e60c93a6f30fbf5c777816714bc223e70,2
OC432564,07211684,Pfp-Igloo (General Partner) Limited,2020-07-15,,false,right-to-appoint-and-remove-members-limited-liability-partnership,Company Limited By Shares,Companies Act 2006,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC432564/persons-with-significant-control/corporate-entity/eG3Xz-20cXT1ZIAPow-k1GPjpgE,dcb703ddf81dd46b1cf8c52fff843666532b9f72,3
OC432564,07211684,Pfp-Igloo (General Partner) Limited,2020-07-15,,false,right-to-share-surplus-assets-50-to-75-percent-limited-liability-partnership,Company Limited By Shares,Companies Act 2006,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC432564/persons-with-significant-control/corporate-entity/eG3Xz-20cXT1ZIAPow-k1GPjpgE,dcb703ddf81dd46b1cf8c52fff843666532b9f72,3
OC432564,07211684,Pfp-Igloo (General Partner) Limited,2020-07-15,,false,voting-rights-50-to-75-percent-limited-liability-partnership,Company Limited By Shares,Companies Act 2006,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC432564/persons-with-significant-control/corporate-entity/eG3Xz-20cXT1ZIAPow-k1GPjpgE,dcb703ddf81dd46b1cf8c52fff843666532b9f72,3
05769391,01469541,Carillion (Maple Oak) Limited,2016-04-06,2018-10-25,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05769391/persons-with-significant-control/corporate-entity/KHsGpnnXtCI7-Masao0RXgvHwsc,08b254182ddede7477db4ccd8bded1616846369c,2
05769391,01469541,Carillion (Maple Oak) Limited,2016-04-06,2018-10-25,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05769391/persons-with-significant-control/corporate-entity/KHsGpnnXtCI7-Masao0RXgvHwsc,08b254182ddede7477db4ccd8bded1616846369c,2
SC014842,00077628,Carillion Jm Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC014842/persons-with-significant-control/corporate-entity/uZexmZYxXVkqPS_OxDo630QBOa0,535b88047f30cb552a74901fde6d8b9ef4b0f4de,2
SC014842,00077628,Carillion Jm Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC014842/persons-with-significant-control/corporate-entity/uZexmZYxXVkqPS_OxDo630QBOa0,535b88047f30cb552a74901fde6d8b9ef4b0f4de,2
SC014842,00077628,Carillion Jm Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC014842/persons-with-significant-control/corporate-entity/uZexmZYxXVkqPS_OxDo630QBOa0,535b88047f30cb552a74901fde6d8b9ef4b0f4de,2
11059403,OC392861,Ask Richardson Developments Llp,2017-11-13,,false,ownership-of-shares-25-to-50-percent,Limited Liability Partnership,Limited Liability Partnership Act 2000,United Kingdom,England And Wales,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/11059403/persons-with-significant-control/corporate-entity/3l6eXWZReZUGXweyYi-F8cZ4uhA,8d4114880cb49f7a216e68e9259ae85f677a68b9,4
11059403,OC392861,Ask Richardson Developments Llp,2017-11-13,,false,voting-rights-25-to-50-percent,Limited Liability Partnership,Limited Liability Partnership Act 2000,United Kingdom,England And Wales,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/11059403/persons-with-significant-control/corporate-entity/3l6eXWZReZUGXweyYi-F8cZ4uhA,8d4114880cb49f7a216e68e9259ae85f677a68b9,4
10757831,00594581,Carillion Construction Limited,2017-05-08,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/10757831/persons-with-significant-control/corporate-entity/WP2VUPluTT3JH4zbg550_IZ-B5M,f29f7b346edc0ab7c82030cbc74d7b033f0dd0e1,2
10757831,00594581,Carillion Construction Limited,2017-05-08,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/10757831/persons-with-significant-control/corporate-entity/WP2VUPluTT3JH4zbg550_IZ-B5M,f29f7b346edc0ab7c82030cbc74d7b033f0dd0e1,2
09008001,08084031,Ask Real Estate Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09008001/persons-with-significant-control/corporate-entity/_0IRFUexe_-stFOVrV1KRUshOJ4,fef8665dc14f42c49ff153288d6298fa1d56a79b,3
09008001,08084031,Ask Real Estate Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09008001/persons-with-significant-control/corporate-entity/_0IRFUexe_-stFOVrV1KRUshOJ4,fef8665dc14f42c49ff153288d6298fa1d56a79b,3
03130297,00077628,Carillion Jm Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03130297/persons-with-significant-control/corporate-entity/f1xTMMbvMgdfoTtbHG9NpF5pqw0,e3bcecdad34fc2046d66d85a0a774cb72e55bf7d,2
03130297,00077628,Carillion Jm Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03130297/persons-with-significant-control/corporate-entity/f1xTMMbvMgdfoTtbHG9NpF5pqw0,e3bcecdad34fc2046d66d85a0a774cb72e55bf7d,2
03130297,00077628,Carillion Jm Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03130297/persons-with-significant-control/corporate-entity/f1xTMMbvMgdfoTtbHG9NpF5pqw0,e3bcecdad34fc2046d66d85a0a774cb72e55bf7d,2
04322876,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04322876/persons-with-significant-control/corporate-entity/cv7QzmBTctV3u61smF1HoA9IDDI,17130a5fb48674de9e296d0c1179efe0d8b50dc6,2
04322876,00594581,Carillion Construction Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04322876/persons-with-significant-control/corporate-entity/cv7QzmBTctV3u61smF1HoA9IDDI,17130a5fb48674de9e296d0c1179efe0d8b50dc6,2
04322876,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04322876/persons-with-significant-control/corporate-entity/cv7QzmBTctV3u61smF1HoA9IDDI,17130a5fb48674de9e296d0c1179efe0d8b50dc6,2
02112970,03782379,Carillion Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02112970/persons-with-significant-control/corporate-entity/CVwfD1FzPyV4a5qqDNuc0CF12BM,a7f64314b6574f7e6ca438710c619080116aa090,1
02112970,03782379,Carillion Plc,2016-04-06,,false,right-to-appoint-and-remove-directors,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02112970/persons-with-significant-control/corporate-entity/CVwfD1FzPyV4a5qqDNuc0CF12BM,a7f64314b6574f7e6ca438710c619080116aa090,1
02112970,03782379,Carillion Plc,2016-04-06,,false,voting-rights-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02112970/persons-with-significant-control/corporate-entity/CVwfD1FzPyV4a5qqDNuc0CF12BM,a7f64314b6574f7e6ca438710c619080116aa090,1
04435931,03783015,Carillion Cr Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04435931/persons-with-significant-control/corporate-entity/cqHzcjGI5Rwn8AkXI9itMGRZrUA,a67dee7bf1de9290bf26049e63b9437f9045c1cc,3
04435931,03783015,Carillion Cr Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04435931/persons-with-significant-control/corporate-entity/cqHzcjGI5Rwn8AkXI9itMGRZrUA,a67dee7bf1de9290bf26049e63b9437f9045c1cc,3
01528870,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01528870/persons-with-significant-control/corporate-entity/NvV8DxMAXOSehmHb6G9e-sqc-H0,e2f49bcc574980382fc6d25e2100567ec268e236,2
01528870,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01528870/persons-with-significant-control/corporate-entity/NvV8DxMAXOSehmHb6G9e-sqc-H0,e2f49bcc574980382fc6d25e2100567ec268e236,2
01528870,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01528870/persons-with-significant-control/corporate-entity/NvV8DxMAXOSehmHb6G9e-sqc-H0,e2f49bcc574980382fc6d25e2100567ec268e236,2
01469541,00077628,Carillion Jm Limited,2016-04-06,2018-12-12,true,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01469541/persons-with-significant-control/corporate-entity/0uiry6gCcKSdaJMR4GbOWhRkUoU,e0c3a7bcbe13d54f4edea977a785317773e0d5ea,2
01469541,00077628,Carillion Jm Limited,2016-04-06,2018-12-12,true,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01469541/persons-with-significant-control/corporate-entity/0uiry6gCcKSdaJMR4GbOWhRkUoU,e0c3a7bcbe13d54f4edea977a785317773e0d5ea,2
01469541,00077628,Carillion Jm Limited,2016-04-06,2018-12-12,true,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01469541/persons-with-significant-control/corporate-entity/0uiry6gCcKSdaJMR4GbOWhRkUoU,e0c3a7bcbe13d54f4edea977a785317773e0d5ea,2
02319285,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Limited By Shares,United Kingdom (England),United Kingdom (England),Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02319285/persons-with-significant-control/corporate-entity/-IUocf4HFG2_7030hQEEJUMuNeM,44ad4d6a0fa3b1ff11928c262bdfaf63fc8a85e3,2
02319285,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Limited By Shares,United Kingdom (England),United Kingdom (England),Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02319285/persons-with-significant-control/corporate-entity/-IUocf4HFG2_7030hQEEJUMuNeM,44ad4d6a0fa3b1ff11928c262bdfaf63fc8a85e3,2
05704254,05704064,Carillion (Aspire Services) Holdings Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704254/persons-with-significant-control/corporate-entity/oMmuy2QipCkUZ33jgymjAqamnEM,9e35706aaed0d2b92d66b93e23e94261b10a218c,4
05704254,05704064,Carillion (Aspire Services) Holdings Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704254/persons-with-significant-control/corporate-entity/oMmuy2QipCkUZ33jgymjAqamnEM,9e35706aaed0d2b92d66b93e23e94261b10a218c,4
05704135,05704083,Carillion (Aspire Construction) Holdings Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704135/persons-with-significant-control/corporate-entity/rbR5klObjL7BWvrdtMMkOFmCfLE,6e6e96d96e61c92c3e03722797377d05d2bf5b96,4
05704135,05704083,Carillion (Aspire Construction) Holdings Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704135/persons-with-significant-control/corporate-entity/rbR5klObjL7BWvrdtMMkOFmCfLE,6e6e96d96e61c92c3e03722797377d05d2bf5b96,4
05704135,05704083,Carillion (Aspire Construction) Holdings Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704135/persons-with-significant-control/corporate-entity/rbR5klObjL7BWvrdtMMkOFmCfLE,6e6e96d96e61c92c3e03722797377d05d2bf5b96,4
01521006,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01521006/persons-with-significant-control/corporate-entity/OIUaOaM-QUdVGi86tCNmnAgXdBk,e80e1f3387c2bb2a3fabca30084fa0d7efe0ddb0,2
01521006,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01521006/persons-with-significant-control/corporate-entity/OIUaOaM-QUdVGi86tCNmnAgXdBk,e80e1f3387c2bb2a3fabca30084fa0d7efe0ddb0,2
01521006,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01521006/persons-with-significant-control/corporate-entity/OIUaOaM-QUdVGi86tCNmnAgXdBk,e80e1f3387c2bb2a3fabca30084fa0d7efe0ddb0,2
05704064,05704172,Carillion (Aspire Services) Holdings No.2 Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704064/persons-with-significant-control/corporate-entity/2fnyebpQisaM6IEjcTWxoVf0nQI,5f7d81d443dc13834f3f18a6b053eadee0ce73f2,3
05704064,05704172,Carillion (Aspire Services) Holdings No.2 Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704064/persons-with-significant-control/corporate-entity/2fnyebpQisaM6IEjcTWxoVf0nQI,5f7d81d443dc13834f3f18a6b053eadee0ce73f2,3
05704064,05704172,Carillion (Aspire Services) Holdings No.2 Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05704064/persons-with-significant-control/corporate-entity/2fnyebpQisaM6IEjcTWxoVf0nQI,5f7d81d443dc13834f3f18a6b053eadee0ce73f2,3
OC394707,01469541,Carillion (Maple Oak) Limited,2016-04-06,2019-03-08,true,voting-rights-25-to-50-percent-limited-liability-partnership,Limited Company,Companies Act,West Midlands,England,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC394707/persons-with-significant-control/corporate-entity/1SjbpHSRqJxyfoFsV7I1c5DqL0E,ad10a410b18fb1eee8b6a4dddee053d3722726de,3
05501004,00737307,Planned Maintenance Engineering Limited,2016-04-06,,false,significant-influence-or-control,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05501004/persons-with-significant-control/corporate-entity/5MWuBiQw9bvGSTbuJigJI5lUUGU,3e7cbf61d823499f9e7016af8822d10375248927,2
OC392861,01469541,Carillion (Maple Oak) Limited,2016-04-06,2017-10-30,true,significant-influence-or-control-limited-liability-partnership,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC392861/persons-with-significant-control/corporate-entity/NL8NtsMbhJYPnkHyOqXgaDL0T6k,c2c7da9e2df715690d139a5e1dd3a7dc018fd734,3
OC392861,09008001,Ask Real Estate (Investments) Limited,2016-04-06,,false,significant-influence-or-control-limited-liability-partnership,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC392861/persons-with-significant-control/corporate-entity/hYpfPwB_Pz2bMyqsJHJBMscqZGI,a0493c7ca1fcb3b71c65d7edb878ac413e409b69,3
00416147,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00416147/persons-with-significant-control/corporate-entity/Q1CQQpYr7v7rsiN3QNluzeJGFtY,3585754e5395fbe07a421bbe46cf5dbbe1accc00,2
00416147,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00416147/persons-with-significant-control/corporate-entity/Q1CQQpYr7v7rsiN3QNluzeJGFtY,3585754e5395fbe07a421bbe46cf5dbbe1accc00,2
00416147,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00416147/persons-with-significant-control/corporate-entity/Q1CQQpYr7v7rsiN3QNluzeJGFtY,3585754e5395fbe07a421bbe46cf5dbbe1accc00,2
01808326,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01808326/persons-with-significant-control/corporate-entity/xBp_zfax_N7_FrLSAXC0JaEVVVs,d67138bb29ab7c9559f36372de8e8134a022a64c,2
01808326,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01808326/persons-with-significant-control/corporate-entity/xBp_zfax_N7_FrLSAXC0JaEVVVs,d67138bb29ab7c9559f36372de8e8134a022a64c,2
04364773,00077628,Carillion Jm Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04364773/persons-with-significant-control/corporate-entity/V4es4wvSs1x2kzm5-8_jY7iAgDo,6257516cab3c2f700f12202eb2899fb3ff58dda3,2
04364773,00077628,Carillion Jm Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04364773/persons-with-significant-control/corporate-entity/V4es4wvSs1x2kzm5-8_jY7iAgDo,6257516cab3c2f700f12202eb2899fb3ff58dda3,2
09598377,09598536,Psbp Midlands (Holdings) Limited,2016-04-06,2019-04-30,true,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09598377/persons-with-significant-control/corporate-entity/c9AIiLJJgUS_GgJsFhEJvwKVAyY,1704d8bbffd5dfb154f580e6e6a93ed13c82c077,4
09598377,09598536,Psbp Midlands (Holdings) Limited,2016-04-06,2019-04-30,true,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09598377/persons-with-significant-control/corporate-entity/c9AIiLJJgUS_GgJsFhEJvwKVAyY,1704d8bbffd5dfb154f580e6e6a93ed13c82c077,4
00594581,03782379,Carillion Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00594581/persons-with-significant-control/corporate-entity/2ymgzihg03OHUVxAco3oC1z_2FQ,8543176ff4e8ce5737a06c1ab149b6b11f397ff2,1
00594581,03782379,Carillion Plc,2016-04-06,,false,right-to-appoint-and-remove-directors,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00594581/persons-with-significant-control/corporate-entity/2ymgzihg03OHUVxAco3oC1z_2FQ,8543176ff4e8ce5737a06c1ab149b6b11f397ff2,1
